section_id,section_title,question_number,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,points,image_url,audio_url,passage_text
grammar_1,Grammar — Level 1 (Beginner),18,18. ___ you speak Spanish?,multiple_choice,A. Are,B. Do,C. Does,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),19,19. What's your mother's name? ___ name's Isabella.,multiple_choice,A. Her,B. Our,C. She's,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),20,20. This is ___.,multiple_choice,A. a tablet expensive,B. a expensive tablet,C. an expensive tablet,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),21,21. I'm very ......... I need some water.,multiple_choice,A. hungry,B. thirsty,C. tired,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),22,"22. When it rains, you need ___.",multiple_choice,A. a camera,B. an ID card,C. an umbrella,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),23,"23. Is your new car fast? No, it isn't. It's very ___.",multiple_choice,A. big,B. dirty,C. slow,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),24,24. What ___ is her dress?,multiple_choice,A. clean,B. colour,C. green,,,1,,,
grammar_1,Grammar — Level 1 (Beginner),25,25. What time did you ___ the house this morning?,multiple_choice,A. arrive,B. go,C. leave,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),1,1. He speaks Arabic; I think he's ...........,multiple_choice,Egypt,Egyptian,,,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),2,2. What Language do people in ........... speak?,multiple_choice,Canadaian,Canada,the Canada,Canadish,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),3,3. How many states are there in ..........?,multiple_choice,the USA,USA,the America,,A,1,,,
grammar_2,Grammar — Level 2 (Elementary),4,4. …........................... two old bicycles in our garage.,multiple_choice,There are,There is,There's,There're,A,1,,,
grammar_2,Grammar — Level 2 (Elementary),5,5. ................. any milk in the fridge.,multiple_choice,There are,There is,There isn't,There aren't,C,1,,,
grammar_2,Grammar — Level 2 (Elementary),6,6. .................. sugar do you add to your coffee?,multiple_choice,how,how much,how many,who,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),7,7. It's 3:15.,multiple_choice,a. it's three fifteen,b. it's quarter past three,c. it's quarter to three,d.all of the above,,1,,,
grammar_2,Grammar — Level 2 (Elementary),8,8. Choose the correct question:,multiple_choice,They are married?,Are they married?,all of the above,none of the above,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),9,9. How do you spell 17?,multiple_choice,seventeen,seventy,seventey,seven,A,1,,,
grammar_2,Grammar — Level 2 (Elementary),10,10. Look at the picture and answer:,multiple_choice,They are running.,They running.,They run.,They runs.,A,1,,,
grammar_2,Grammar — Level 2 (Elementary),11,11. I don't like .................,multiple_choice,cook,cooking,to cooking,,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),12,12. Choose the correct sentence:,multiple_choice,I always wake up early.,I wake up early always.,I wake up always early.,always I wake up early.,A,1,,,
grammar_2,Grammar — Level 2 (Elementary),13,13. Choose the correct sentence:,multiple_choice,That's strange! He is late never.,That's strange! He is never late.,That's strange! He never is late.,,B,1,,,
grammar_2,Grammar — Level 2 (Elementary),14,14. Where ........ you last night?,multiple_choice,was,is,were,are,C,1,,,
grammar_2,Grammar — Level 2 (Elementary),15,15. Jane and I ........... to Paris last year.,multiple_choice,want,go,goed,goes,,1,,,
grammar_2,Grammar — Level 2 (Elementary),16,16. We ................ that at school.,multiple_choice,didn't learned,wasn't learn,didn't learn,weren't learn,C,1,,,
grammar_2,Grammar — Level 2 (Elementary),17,17. Where's Luca? I need to talk to ___.,multiple_choice,A. he,B. him,C. his,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),18,18. I'm sorry. You ___ use your mobile phone here.,multiple_choice,A. aren't,B. can't,C. don't,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),19,19. I ___ an amazing football match last night.,multiple_choice,A. see,B. seed,C. saw,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),20,20. Hiro is 75 years old. He doesn't work now. He's ___.,multiple_choice,A. at home,B. a factory worker,C. retired,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),21,21. I'm not ___ a taxi. It's very expensive!,multiple_choice,A. getting,B. staying,C. waiting,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),22,22. We sometimes go ___ for our holidays.,multiple_choice,A. camping,B. flying,C. staying,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),23,"23. I miss my family, so I ___ home a lot.",multiple_choice,A. wait,B. phone,C. work,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),24,"24. Yesterday at 3 p.m., Sandra was ___ her car.",multiple_choice,A. at,B. in,C. on,,,1,,,
grammar_2,Grammar — Level 2 (Elementary),25,25. Ben ___ his girlfriend some chocolates.,multiple_choice,A. decided,B. had,C. sent,,,1,,,
grammar_3,Grammar — Level 3 (Intermediate),1,1. Where ........... you ..........? I ............... you in ages.,multiple_choice,"did, be, saw","did, be, haven't seen","have, been, haven't seen","did, been, didn't see",C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),2,2. What ...........?,multiple_choice,happen,did it happen,happened,,C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),3,3. The trip.......... delayed. It depends on the weather.,multiple_choice,might to be,might be,will be,will to be,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),4,"4.. In Malaysia, people .......... drive to the right.",multiple_choice,have,have to,don't,don't have to,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),5,5. I can't see her car. Where is she?,multiple_choice,She's been to the supermarket.,She's gone to the supermarket.,She's be to the supermarket.,She's go to the supermarket.,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),6,6. What ............. do next weekend?,multiple_choice,are you going,are you going to,will,will to,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),7,7. Your place is .......... to the beach than ..........,multiple_choice,"farer, my house","far, me","further, my house",all of the above,C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),8,8. Can you speak more slowly? You speak really ........,multiple_choice,fast,faster,fastly,,A,1,,,
grammar_3,Grammar — Level 3 (Intermediate),9,9. I think cats are .............,multiple_choice,a. friendliest,b. the friendliest,c. the most friendly,d. most friendly,,1,,,
grammar_3,Grammar — Level 3 (Intermediate),10,"10. If you need help, please ........... me.",multiple_choice,call,calling,will call,,A,1,,,
grammar_3,Grammar — Level 3 (Intermediate),11,11. What ......... you do if a shark ............. you?,multiple_choice,"will, attack","will, attacked","would, attack","would, attacked",D,1,,,
grammar_3,Grammar — Level 3 (Intermediate),12,12. Look at the sky; I think it ...........,multiple_choice,a. will rain,b. is going to rain,c. is raining,d. both a & b,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),13,13. He is smart and friendly.,multiple_choice,What is he like?,What does he like?,What does he look like?,none of the above,A,1,,,
grammar_3,Grammar — Level 3 (Intermediate),14,14. He is tall and has a black beard.,multiple_choice,What is he like?,What does he like?,What does he look like?,none of the above,C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),15,15. How long ......... you ....... there?,multiple_choice,"did, live","have, live","did, lived","have, lived",D,1,,,
grammar_3,Grammar — Level 3 (Intermediate),16,"16. While he was .........., somebody ............ his wallet.",multiple_choice,"walked, stole","walked, stolen","walking, stole","walking, stolen",C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),17,17. Health issues have been the concern of media ..........,multiple_choice,ever,yet,recently,last year,C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),18,18. She's acting weird. She ........... be like that!,multiple_choice,use to,used,didn't use,didn't use to,D,1,,,
grammar_3,Grammar — Level 3 (Intermediate),19,19. Where are you? I .............. for two hours!,multiple_choice,waited,have waited,have been waiting,wait,C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),20,20. A number of people .............. at the airport last week.,multiple_choice,arrested,were arrested,were arresting,arrest,B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),21,21. Sugar ....... widely ..... all over the world. An average American ........17 teaspoons of sugar every day.,multiple_choice,"is, used, have","is, using, has","is, used, has","is, using, have",C,1,,,
grammar_3,Grammar — Level 3 (Intermediate),22,22. The thief ............ their place months before he ......... into the house.,multiple_choice,"watched, broke","had watched, broke","have watched, broken","watched, break",B,1,,,
grammar_3,Grammar — Level 3 (Intermediate),23,23. I have ...............and blue eyes.,multiple_choice,long straight hair,straight long hair,hair straight long,,A,1,,,
grammar_3,Grammar — Level 3 (Intermediate),24,24. My brother's really frightened ............ spiders.,multiple_choice,of,from,to,at,A,1,,,
grammar_3,Grammar — Level 3 (Intermediate),25,25. He .................me if I could tell him the way.,multiple_choice,said,told,asked,all of the above,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),1,"1. It won't take long to paint this room, .............it?",multiple_choice,won't,will,right,all of the above,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),2,2. That's the house ............... my father was born.,multiple_choice,when,where,that,which,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),3,3. You ............. the train if you .............in bed so long.,multiple_choice,"wouldn't have missed, hadn't stayed","wouldn't miss, didn't stay","wouldn't have missed, stayed",all of the above,A,1,,,
grammar_4,Grammar — Level 4 (Advanced),4,"4. If I ............you, I wouldn't say anything and just forget about it.",multiple_choice,am,was,were,none of the above,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),5,5. I'm sorry I don't remember what ................,multiple_choice,is your name,your name is,all of the above,none of the above,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),6,6. That's the man ................ dog bit me last month!,multiple_choice,that,which,whose,who,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),7,7. You ............... record films in the cinema. It's illegal!,multiple_choice,don't have to,mustn't,shouldn't,all of the above,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),8,8.  You won't be able to get home........... you call a taxi.,multiple_choice,unless,if,as,but,A,1,,,
grammar_4,Grammar — Level 4 (Advanced),9,"9. This time tomorrow, I ............ lying on a tropical beach.",multiple_choice,am,have been,will be,,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),10,10. It's very dusty here right now because the office next door ................. redecorated.,multiple_choice,is,is being,will be,,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),11,11. I ............... my essay for an hour when my computer crashed and lost it all.,multiple_choice,was writing,wrote,had written,had been writing,D,1,,,
grammar_4,Grammar — Level 4 (Advanced),12,12. You shouldn't ............so long in the sun yesterday – you've got sunburn.,multiple_choice,spend,had spent,spent,have spent,D,1,,,
grammar_4,Grammar — Level 4 (Advanced),13,13. I think I................ enough Chinese by the time I go to China.,multiple_choice,will learn,will have learned,am going to learn,all of the above,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),14,14. .............are becoming an increasingly large proportion of many societies.,multiple_choice,Unemployed,The unemployed,Unemployed people,all of the above,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),15,"15. .......................the very steep climb up the last hill, I really enjoyed the walk.",multiple_choice,Despite,even,In spite,Although,A,1,,,
grammar_4,Grammar — Level 4 (Advanced),16,16. She ..............be here by now! She left work an hour ago..,multiple_choice,is,can,must,,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),17,17. Luis ............... have heard my message. Otherwise he would have phoned.,multiple_choice,can't,couldn't,mustn't,never,B,1,,,
grammar_4,Grammar — Level 4 (Advanced),18,"18.............the sign, I would have stopped.",multiple_choice,I didn't see,I had seen,Had I seen,none of the above,C,1,,,
grammar_4,Grammar — Level 4 (Advanced),19,19. The two armies agreed on a ................for Christmas.,multiple_choice,treaty,truce,revolution,ceasefire,D,1,,,
grammar_4,Grammar — Level 4 (Advanced),20,"20. Per capita GNP is just a rough way of _____ the ability of different countries _____ goods and services, _____ into account the fact that they have different populations.",multiple_choice,A) compared / producing / taking,B) comparing / producing / taken,C) comparing / to produce / taking,D) comparing / producing / to take,,1,,,
grammar_4,Grammar — Level 4 (Advanced),21,21. _____ she washed the cup and put it away.,multiple_choice,A) Having the coffee,B) Drinking the coffee,C) Having drunk the coffee,D) Has drunk the coffee,A,1,,,
grammar_4,Grammar — Level 4 (Advanced),22,22. It was a tragedy that she was killed on her wedding-day. To _____ was a tragedy.,multiple_choice,A) killed on her wedding-day,B) have been killed on her wedding-day,C) being killed on her wedding-day,D) have killed on her wedding day,,1,,,
grammar_4,Grammar — Level 4 (Advanced),23,23. I regret _____ you that you are to be dismissed next month.,multiple_choice,A) inform,B) to inform,C) informing,D) having informed,,1,,,
grammar_4,Grammar — Level 4 (Advanced),24,"24. Of the two toys, the child chose ______ .",multiple_choice,A) the less expensive,B) the least expensive,C) the one most expensive,D) the most expensive of them,,1,,,
grammar_4,Grammar — Level 4 (Advanced),25,"25. In _____ kingdom of Nepal, high up in _____ Himalayas and within sight of _____ Mt. Everest _____ world's highest mountain, _____ way of life in _____ villages has hardly changed in hundreds of years.",multiple_choice,A) the / _ / the / the / _ / the,C) the / the / the / the / the / _,B) the / the / _ / the / the / the,D) _ / the / _ / _ / the / the,A,1,,,
reading,Reading,1,1. Most people don't find it difficult to remember recent events.,multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
reading,Reading,2,2. People find it easier to remember their own lives than world events.,multiple_choice,TRUE,FALSE,Doesn't say,,C,1,,,
reading,Reading,3,3. We generally think that it's useful to forget small things.,multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
reading,Reading,4,4. Rita Howard is best at remembering things which happened a long time ago.,multiple_choice,TRUE,FALSE,Doesn't say,,B,1,,,
reading,Reading,5,"5. When she was young, Rita thought everyone had an excellent memory.",multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
reading,Reading,6,6. People noticed her ability to memorize information when she was at school.,multiple_choice,TRUE,FALSE,Doesn't say,,C,1,,,
reading,Reading,7,7. People expect Rita to know about things that she hasn't experienced.,multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
reading,Reading,8,8. Everyone's brain has as many memories as Rita's.,multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
reading,Reading,9,9. Rita is working as a historian.,multiple_choice,TRUE,FALSE,Doesn't say,,B,1,,,
reading,Reading,10,10. Age hasn't changed Rita's abilities.,multiple_choice,TRUE,FALSE,Doesn't say,,A,1,,,
listening_1,Listening — Set 1,1,1. What musical instrument can the speaker play?,multiple_choice,A. The piano,B. The guitar,C. The violin,D. The drums,C,1,,,
listening_1,Listening — Set 1,2,2. How well can the speaker play the instrument?,multiple_choice,A. Very well,B. Not very well,C. Quite well,D. Very badly,B,1,,,
listening_1,Listening — Set 1,3,3. Why does the speaker say the neighbors are noisy?,multiple_choice,A. They play loud music in the morning.,B. They have parties every day and night.,C. They have a lot of children.,D. They often invite people for dinner.,B,1,,,
listening_1,Listening — Set 1,4,4. What is the speaker's favorite month?,multiple_choice,A. January,B. March,C. July,D. December,D,1,,,
listening_1,Listening — Set 1,5,5. Why does the speaker like this month?,multiple_choice,A. The weather gets warmer.,B. There are many parties.,C. The weather gets colder and it is Christmas time.,D. The days become longer.,C,1,,,
listening_1,Listening — Set 1,6,6. Which kinds of music does the speaker typically listen to?,multiple_choice,A. Country and jazz,B. Electronic dance and indie rock,C. Opera and classical,D. Folk and country,B,1,,,
listening_1,Listening — Set 1,7,7. What kind of music does the speaker NOT like?,multiple_choice,A. Jazz,B. Opera,C. Country,D. Electronic dance,C,1,,,
listening_1,Listening — Set 1,8,8. What is the speaker's favorite band right now?,multiple_choice,A. Why Oak,B. New Folk,C. Brooklyn,D. Indie Rock,A,1,,,
listening_1,Listening — Set 1,9,9. What kinds of books does the speaker read?,multiple_choice,A. Only history books,B. Only novels,C. Different kinds of books,D. Mainly books about music,C,1,,,
listening_1,Listening — Set 1,10,10. What is the speaker reading at the moment?,multiple_choice,A. A novel about France,B. A history of wars in France,C. A book about music,D. A history of Brooklyn,B,1,,,
listening_2,Listening — Set 2,1,1. Where is Brighton?,multiple_choice,A. In the north of England,B. In the south of England,C. In the east of England,D. In the west of England,B,1,,,
listening_2,Listening — Set 2,2,2. Why is the speaker in Brighton?,multiple_choice,A. To have a holiday,B. To visit friends,C. To visit an English language school,D. To work at a hotel,C,1,,,
listening_2,Listening — Set 2,3,3. How many students are there at the school?,multiple_choice,A. About 150,B. About 250,C. About 350,D. About 500,C,1,,,
listening_2,Listening — Set 2,4,4. Where is Wu from?,multiple_choice,A. China,B. Korea,C. Japan,D. Germany,B,1,,,
listening_2,Listening — Set 2,5,5. How many students are in Wu's class?,multiple_choice,A. Five,B. Seven,C. Nine,D. Eleven,A,1,,,
listening_2,Listening — Set 2,6,6. What level is Rika?,multiple_choice,A. Beginner,B. Elementary,C. Intermediate,D. Advanced,C,1,,,
listening_2,Listening — Set 2,7,7. How many students are in Rika's class?,multiple_choice,A. Five,B. Eight,C. Ten,D. Eleven,D,1,,,
listening_2,Listening — Set 2,8,8. Where do Rika and Wu sometimes go when they are not in class?,multiple_choice,A. The library or café,B. The computer room or canteen,C. The park or beach,D. The gym or shop,B,1,,,
listening_2,Listening — Set 2,9,9. Where do Rika and Wu live?,multiple_choice,A. In a hotel,B. In a student house,C. With their teachers,D. In the school,B,1,,,
listening_2,Listening — Set 2,10,10. What does the speaker say about Brighton at the end?,multiple_choice,A. It is quiet and small.,B. It is expensive and busy.,C. It is exciting and fun.,D. It is old and beautiful.,C,1,,,
listening_3,Listening — Set 3,1,1. Why are Agatha Christie and Ruth Rendell introduced as special among crime writers?,multiple_choice,A. They were the first British crime writers.,"B. They are known as the ""Queens of Crime.""",C. They wrote about the same detective.,D. They were the most successful journalists in Britain.,B,1,,,
listening_3,Listening — Set 3,2,2. What did Ruth Rendell do after she left school?,multiple_choice,A. She became a journalist.,B. She became a police officer.,C. She studied psychology.,D. She started writing novels immediately.,A,1,,,
listening_3,Listening — Set 3,3,3. What does the speaker tell us about Inspector Wexford?,multiple_choice,A. He appeared mainly in short stories.,B. He was created under the name Barbara Vine.,C. He remains Rendell's best-known character.,D. He was based on Rendell's husband.,C,1,,,
listening_3,Listening — Set 3,4,4. How were Rendell's Barbara Vine novels different from her other novels?,multiple_choice,A. They were more humorous.,B. They were darker and more psychological.,C. They were mainly written for films.,D. They focused on historical crimes.,B,1,,,
listening_3,Listening — Set 3,5,5. What happened to Agatha Christie in December 1926?,multiple_choice,A. She published a new novel.,B. She suddenly disappeared.,C. She moved to northern England.,D. She divorced her husband.,B,1,,,
listening_3,Listening — Set 3,6,6. Who did the police ask to help with the search for Christie?,multiple_choice,A. Hercule Poirot,B. Max Mallowan,C. Arthur Conan Doyle,D. Raymond Chandler,C,1,,,
listening_3,Listening — Set 3,7,7. What did Christie apparently say after she was found?,multiple_choice,A. She had deliberately run away.,B. She could not remember anything.,C. She had been working on a novel.,D. She wanted to leave England.,B,1,,,
listening_3,Listening — Set 3,8,8. Which description best matches Miss Marple?,multiple_choice,A. A Belgian detective who enjoys attention,B. A journalist who investigates crimes,C. An older English woman who quietly solves crimes,D. A police officer who travels around Britain,C,1,,,
listening_3,Listening — Set 3,9,9. What similarity between Rendell and Christie does the speaker mention?,multiple_choice,A. Both married journalists.,B. Both wrote different novels using pseudonyms.,C. Both created police detectives.,D. Both disappeared mysteriously.,B,1,,,
listening_3,Listening — Set 3,10,"10. According to the speaker, how were their approaches to crime writing different?",multiple_choice,"A. Rendell focused more on characters, while Christie focused more on plots.","B. Christie focused on psychology, while Rendell focused on action.","C. Rendell wrote about real crimes, while Christie invented her stories.","D. Christie focused on characters, while Rendell focused on plots.",A,1,,,
writing_opinion,Writing — Opinion Essay,1,"Some people believe that university students learn more effectively in face-to-face classes, while others believe online learning is better. What is your opinion? In your essay: Clearly state your opinion. Give at least two reasons to support your opinion. Give examples or explanations for your ideas. Write a clear introduction, body, and conclusion.  Write 150–200 words.",long_text,,,,,,0,,,
writing_routine,Writing — Daily Routine,1,Write about a normal day in your life. You can write about: What time you wake up What you do in the morning What you do during the day What you do in the evening What time you go to bed  Write 50–70 words.,long_text,,,,,,0,,,
writing_abroad,Writing — Studying Abroad,1,Many students choose to study in another country. Do you agree that studying abroad is a good experience? Why or why not? In your writing: Give your opinion. Give at least two reasons. Give an example from your experience or ideas. Organize your ideas into paragraphs.  Write 100–150 words.,long_text,,,,,,0,,,
writing_place,Writing — A Place I Like,1,Write about a place you like to visit. You can write about: Where the place is Who you go there with What you usually do there Why you like it How you feel when you are there  Write 70–100 words.,long_text,,,,,,0,,,
